Frame,Time_Seconds,Volumen_RMS,Pitch_F0,Centroide_Espectral,Formante_F1,Formante_F2,Formante_F3,Jitter_Global,Shimmer_Global,HNR_Global,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
0,0.0,2.8604093e-06,0.0,10507.677579727939,0.0,0.0,0.0,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.016666666666666666,3.7995294e-06,0.0,10778.038239595713,0.0,0.0,0.0,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.03333333333333333,4.001001e-06,0.0,10818.058880130025,1181.1653273605748,2009.7477591205945,3027.5158058371676,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.05,3.952598e-06,0.0,10699.873192229421,1082.12561837152,2040.8800337741895,2967.7823215829417,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.06666666666666667,3.9547012e-06,0.0,10728.198203616912,1129.7209548250614,1938.2224207209629,3002.1761626998596,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.08333333333333333,3.976739e-06,0.0,10853.46847862051,1081.0903897919711,1959.441906858532,3002.031752170208,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.1,3.9246e-06,0.0,10765.344377572112,937.3006059624784,1944.1389160670203,3056.663835011373,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.11666666666666667,3.937615e-06,0.0,10712.309174097209,1024.5389250881444,2061.1229354994216,3016.6194377063193,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.13333333333333333,4.01342e-06,0.0,10631.841507872005,1083.7725870080833,2091.184029064613,2988.8742774745706,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.15,4.1567396e-06,0.0,10824.088116871764,1248.5839082124885,2079.1747275802727,2931.4657216207283,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.16666666666666666,4.0248137e-06,0.0,10638.725390171374,1245.6453391601906,1995.1438190386275,2927.6868041648254,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.18333333333333332,3.9845277e-06,0.0,10718.154578924434,1106.1878031750334,1931.9951044418983,2960.2434906488847,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.2,3.8875187e-06,0.0,10741.167847396197,1126.15601989554,1886.626032286134,2983.4553618874265,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.21666666666666667,3.8784315e-06,0.0,10597.418681781492,1089.4024206135264,1964.5714419058734,2977.118970924411,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.23333333333333334,3.98103e-06,0.0,10748.271703916074,1098.4712068092815,2018.5479517755473,3225.930477775193,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.25,4.6407467e-06,0.0,10733.455053478438,1083.8910530288285,2258.5388025991642,3192.218781319451,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.26666666666666666,8.730267e-06,0.0,9686.862881588919,743.7741202211917,2163.4626265275706,2707.8303346275775,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.2833333333333333,0.001757072,0.0,6951.067282094999,420.34235125324216,1819.7423610110732,2780.104263193599,0.013784124859780618,0.05834675697843983,14.685872752144657,-568.1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.3,0.07755758,0.0,1680.9457480832214,470.2815694509371,1883.305107131924,2683.110317263151,0.013784124859780618,0.05834675697843983,14.685872752144657,-312.74738,169.8548,-5.2227116,-9.661581,0.65861917,1.8389907,-39.69741,-20.24967,-42.09365,-33.365818,0.81429374,-34.38279,-6.6211805
19,0.31666666666666665,0.114465795,273.99602248622745,2022.4645118310796,659.935435151727,1940.805877482337,3011.4616288458606,0.013784124859780618,0.05834675697843983,14.685872752144657,-205.18492,165.7693,-45.79995,-4.567926,-26.541477,-1.9881368,-57.34842,-18.94477,-39.982395,-27.468712,6.103409,-37.21946,-12.693978
20,0.3333333333333333,0.14138497,269.236759598459,2259.44343490147,790.1773929135056,2060.480954792523,3012.0425183639322,0.013784124859780618,0.05834675697843983,14.685872752144657,-226.69116,135.97134,-52.403297,1.2130237,-23.55252,2.2278295,-57.982353,-18.906775,-27.057016,-8.430195,14.882992,-23.241068,-13.6621475
21,0.35,0.13781019,269.3430494897209,2402.12756924484,784.0007991481285,2078.2388168371644,2980.4346474586982,0.013784124859780618,0.05834675697843983,14.685872752144657,-221.68639,120.01239,-61.165104,14.062241,-21.127754,3.6007092,-58.987316,-16.829855,-23.985548,-12.786047,10.264739,-25.721111,-14.87412
22,0.36666666666666664,0.1344267,270.6481814238016,1926.3103022320124,623.7681307150199,2028.6884412571735,3070.9707899967902,0.013784124859780618,0.05834675697843983,14.685872752144657,-232.61879,152.15436,-48.837692,9.551207,-12.794943,-4.0231705,-60.288635,-21.312145,-29.07879,-28.611557,15.564189,-33.66104,-29.711292
23,0.38333333333333336,0.14201842,272.30031887308195,2078.6536535294467,364.3966155652049,1911.8797179233768,3187.8236471667387,0.013784124859780618,0.05834675697843983,14.685872752144657,-279.19394,120.21144,-42.535313,34.33127,1.3517743,0.007983923,-38.30989,-7.1409864,-29.334427,-40.153755,17.158218,-21.59293,-27.59518
