Frame,Time_Seconds,Volumen_RMS,Pitch_F0,Centroide_Espectral,Formante_F1,Formante_F2,Formante_F3,Jitter_Global,Shimmer_Global,HNR_Global,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
0,0.0,1.7836712e-07,0.0,19090.697526546577,0.0,0.0,0.0,0.02715632143098531,0.1434392444673737,7.866624017999895,-524.9477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.016666666666666666,9.953882e-07,0.0,13584.85270144427,0.0,0.0,0.0,0.02715632143098531,0.1434392444673737,7.866624017999895,-524.9477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.03333333333333333,4.493545e-06,0.0,6645.065880431531,709.6794753107731,1025.2709675085878,2799.416203745253,0.02715632143098531,0.1434392444673737,7.866624017999895,-524.9477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.05,3.5212357e-05,0.0,1544.3598568112886,392.79676292309324,1336.7674175570087,2092.3086090824413,0.02715632143098531,0.1434392444673737,7.866624017999895,-524.9477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.06666666666666667,5.450824e-05,0.0,1929.35949831838,764.5677334293711,1625.5835965270692,3002.2905640748622,0.02715632143098531,0.1434392444673737,7.866624017999895,-524.9477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.08333333333333333,8.199279e-05,0.0,3090.1215063566597,960.7499436010074,1847.7763567770485,3103.1046850762787,0.02715632143098531,0.1434392444673737,7.866624017999895,-524.84845,0.13722414,0.12823117,0.113679126,0.09419449,0.070629016,0.043998316,0.015460324,-0.013748467,-0.04236106,-0.069136284,-0.0929141,-0.112660326
6,0.1,9.084997e-05,0.0,3271.1483465884144,545.2436525069108,1518.8987115299399,3127.478209947037,0.02715632143098531,0.1434392444673737,7.866624017999895,-524.34,0.85284925,0.83348846,0.80155814,0.75755966,0.7021819,0.63629335,0.56092453,0.47725093,0.38658786,0.29033893,0.1900025,0.08713806
7,0.11666666666666667,0.00012840342,0.0,3961.438627448114,734.7540607300434,1737.1087957542861,2909.207514848858,0.02715632143098531,0.1434392444673737,7.866624017999895,-524.5219,0.5965034,0.57964617,0.55190426,0.5138095,0.4660769,0.40961972,0.34550446,0.27495062,0.19928627,0.11995092,0.0384416,-0.04370281
8,0.13333333333333333,0.00015348141,0.0,3991.616081867583,512.907187960596,1523.5001355708011,2845.053266263066,0.02715632143098531,0.1434392444673737,7.866624017999895,-522.73834,3.1144233,3.0844297,3.0347345,2.9657755,2.878158,2.7726521,2.6501813,2.511814,2.358755,2.1923292,2.0139718,1.8252116
9,0.15,0.0001847129,0.0,4262.971645648235,848.2358154783179,1251.134310606231,3050.3278692730573,0.02715632143098531,0.1434392444673737,7.866624017999895,-521.84393,4.3579335,4.264757,4.112462,3.9054346,3.6495738,3.352096,3.0212483,2.6660268,2.2958183,1.9201268,1.5481794,1.1886513
