Frame,Time_Seconds,Volumen_RMS,Pitch_F0,Centroide_Espectral,Formante_F1,Formante_F2,Formante_F3,Jitter_Global,Shimmer_Global,HNR_Global,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
0,0.0,1.5089105e-06,0.0,15465.86321651909,0.0,0.0,0.0,0.01857034474584411,0.0727455930723943,13.751228996802553,-530.7137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.016666666666666666,6.098745e-05,0.0,9479.166592451747,0.0,0.0,0.0,0.01857034474584411,0.0727455930723943,13.751228996802553,-530.7137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.03333333333333333,0.0002035113,0.0,10642.885399864957,875.3115509119732,1641.3046738649732,2746.324484516285,0.01857034474584411,0.0727455930723943,13.751228996802553,-530.5357,0.25022554,0.24564324,0.2380656,0.22758703,0.21433675,0.19847448,0.18019202,0.15971655,0.13729072,0.11319442,0.08771767,0.061172158
3,0.05,0.00026714845,0.0,10635.24157865441,925.7718942390878,1559.2003293625596,2700.1398090545945,0.01857034474584411,0.0727455930723943,13.751228996802553,-526.2439,6.272914,6.129032,5.8935175,5.5726404,5.174905,4.710699,4.191999,3.6319423,3.0443985,2.4434967,1.8431864,1.2567815
4,0.06666666666666667,0.00028347067,0.0,10494.605643749876,1332.3140129961962,2079.9311799337806,3378.6371239741297,0.01857034474584411,0.0727455930723943,13.751228996802553,-528.22815,3.4877107,3.4062514,3.2732327,3.092648,2.869914,2.6115956,2.325231,2.0190077,1.7014992,1.3813033,1.0667784,0.7657213
5,0.08333333333333333,0.00027507904,0.0,10519.773565849384,1253.5546979774608,2310.053260004564,3184.7271886702165,0.01857034474584411,0.0727455930723943,13.751228996802553,-527.9012,3.9472275,3.857249,3.7105346,3.5118077,3.2674143,2.9850526,2.6734672,2.342093,2.000642,1.6588044,1.3257784,1.0099715
6,0.1,0.00028088072,0.0,10081.924376798408,1336.689912934098,2143.4562907658665,3211.171009540823,0.01857034474584411,0.0727455930723943,13.751228996802553,-527.6977,4.215785,4.0716867,3.8462987,3.5599618,3.237771,2.9066572,2.592365,2.3166032,2.094758,1.9344052,1.8348207,1.787509
7,0.11666666666666667,0.0002720853,0.0,9885.808368843558,741.0126798599092,1815.1168615399483,3223.9315859637018,0.01857034474584411,0.0727455930723943,13.751228996802553,-527.2141,4.8487587,4.564608,4.1413903,3.6345925,3.0912185,2.5364504,1.9722441,1.3877451,0.77620494,0.14994729,-0.4543067,-0.9825382
8,0.13333333333333333,0.00029584128,0.0,10265.605554393336,471.44158342008774,1508.4028541980479,2743.469352545578,0.01857034474584411,0.0727455930723943,13.751228996802553,-526.9223,5.305376,5.137945,4.866249,4.500968,4.0563025,3.5493226,2.9991255,2.4259548,1.8502598,1.2917126,0.76836836,0.29587045
9,0.15,0.00027380176,0.0,10101.756541121356,444.144060190851,1578.9802048456113,2789.1430721670163,0.01857034474584411,0.0727455930723943,13.751228996802553,-526.5345,5.7878036,5.4285226,4.856867,4.1108665,3.2386334,2.293982,1.3316059,0.40243506,-0.4503417,-1.1943152,-1.8094214,-2.2881923
10,0.16666666666666666,0.0002652994,0.0,10090.10539510544,753.6481699702894,1907.3105431754218,2774.5753788366756,0.01857034474584411,0.0727455930723943,13.751228996802553,-529.1133,2.195619,1.998792,1.6910636,1.3005017,0.8618705,0.41276592,-0.010458201,-0.37654513,-0.66245455,-0.8554037,-0.9536263,-0.96577394
11,0.18333333333333332,0.00025801637,0.0,10045.242301145387,916.0963791186002,2009.167608908974,2979.155028647059,0.01857034474584411,0.0727455930723943,13.751228996802553,-528.8286,2.6357098,2.546741,2.404209,2.2162066,1.9930822,1.7465279,1.4886513,1.2309949,0.9836703,0.754696,0.54952455,0.3708853
12,0.2,0.0002929768,0.0,10173.622540462298,1509.5894696375526,2433.3171454658313,3554.788785202432,0.01857034474584411,0.0727455930723943,13.751228996802553,-527.41907,4.595567,4.409883,4.118182,3.7451348,3.3214946,2.8809323,2.456476,2.077204,1.7653805,1.53449,1.3882167,1.3206135
13,0.21666666666666667,0.00031066235,0.0,9722.853301974472,948.8925291307918,2235.4455261473263,3225.9179491539035,0.01857034474584411,0.0727455930723943,13.751228996802553,-526.1286,6.4134417,6.205922,5.876276,5.446974,4.946024,4.4040155,3.8510723,3.3139777,2.8139262,2.365002,1.9737308,1.6395085
14,0.23333333333333334,0.00033044722,0.0,10028.242067583575,1056.0676794547508,2339.373737878966,3238.4026495976377,0.01857034474584411,0.0727455930723943,13.751228996802553,-527.2728,4.842762,4.7737594,4.662374,4.5136576,4.333996,4.1304755,3.910242,3.67985,3.4446678,3.2085257,2.973414,2.7395086
15,0.25,0.00033931763,0.0,10113.69628669397,1247.975861222414,2378.1109164954482,3332.887552228087,0.01857034474584411,0.0727455930723943,13.751228996802553,-526.3274,6.1820703,6.118981,6.014708,5.870554,5.6883125,5.4702215,5.21894,4.9374943,4.6292286,4.2977333,3.946806,3.5803668
16,0.26666666666666666,0.0003251361,0.0,9642.28560681813,719.2900270348649,1850.8476242584766,3062.817185603168,0.01857034474584411,0.0727455930723943,13.751228996802553,-525.03204,7.985363,7.837565,7.5953913,7.26491,6.854375,6.373884,5.8351192,5.250926,4.6349325,4.001094,3.363286,2.7348561
