Frame,Time_Seconds,Volumen_RMS,Pitch_F0,Centroide_Espectral,Formante_F1,Formante_F2,Formante_F3,Jitter_Global,Shimmer_Global,HNR_Global,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
0,0.0,1.7455281e-07,0.0,19341.92179648531,0.0,0.0,0.0,0.027200295261307256,0.09461126666333049,5.728714788228517,-562.1839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.016666666666666666,2.2724271e-07,0.0,19274.27433578604,0.0,0.0,0.0,0.027200295261307256,0.09461126666333049,5.728714788228517,-562.1839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.03333333333333333,2.3669523e-07,0.0,19284.140176671248,1293.6338020995047,2317.7559305081554,3226.3335169328875,0.027200295261307256,0.09461126666333049,5.728714788228517,-562.1839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.05,2.4095172e-07,0.0,19199.829464303177,1330.4368265423989,2239.882552201071,3263.177641327109,0.027200295261307256,0.09461126666333049,5.728714788228517,-562.1839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.06666666666666667,2.3578468e-07,0.0,19320.70623539365,1378.135054748046,2344.2745969682255,3281.6271835600655,0.027200295261307256,0.09461126666333049,5.728714788228517,-562.1839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.08333333333333333,2.453465e-07,0.0,19174.325451351036,1415.5510271908345,2399.861705785722,3338.9650472079097,0.027200295261307256,0.09461126666333049,5.728714788228517,-562.1839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.1,2.632597e-07,0.0,18585.018867878956,1332.065427731928,2226.577227290441,3263.7535742168034,0.027200295261307256,0.09461126666333049,5.728714788228517,-562.1839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.11666666666666667,1.9701415e-06,0.0,14640.425954321141,1036.0730245507805,1851.4768272525785,3112.8134638447455,0.027200295261307256,0.09461126666333049,5.728714788228517,-562.1839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.13333333333333333,1.6284495e-05,0.0,5758.799810224047,1236.0029093143066,1954.5280058622523,3334.753994607054,0.027200295261307256,0.09461126666333049,5.728714788228517,-562.1839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.15,0.0001452537,0.0,8225.24660658192,1503.4351759686863,2320.9884305573587,3440.8631243744708,0.027200295261307256,0.09461126666333049,5.728714788228517,-561.3604,1.1631999,1.1591915,1.1525245,1.1432192,1.1313041,1.116816,1.0997987,1.0803099,1.0583926,1.0341301,1.0075905,0.978855
10,0.16666666666666666,0.00031624286,0.0,7956.402887440895,1079.1617138104107,1870.1413965868303,3053.3195983890223,0.027200295261307256,0.09461126666333049,5.728714788228517,-554.83026,10.249485,9.815828,9.145294,8.303819,7.3627415,6.3854036,5.418084,4.487455,3.6046724,2.774077,2.0029278,1.3085387
11,0.18333333333333332,0.00044972682,0.0,8364.614861044167,699.0601166073474,1795.5095776661913,2937.9771757120884,0.027200295261307256,0.09461126666333049,5.728714788228517,-548.1106,18.953974,16.490664,13.389979,10.488605,8.280241,6.984741,6.685604,7.263236,8.252013,8.939623,8.744158,7.5402575
12,0.2,0.0005815165,0.0,8665.688065760514,687.9214066158111,2030.8898818418888,3198.290668744559,0.027200295261307256,0.09461126666333049,5.728714788228517,-546.6357,21.12952,19.564718,16.829748,14.221734,11.45903,9.503258,7.909224,7.068141,6.517995,6.2813816,6.169726,5.9820204
13,0.21666666666666667,0.00070186716,0.0,7197.587715561777,660.7642985970708,2022.6088410029092,3282.9756522325392,0.027200295261307256,0.09461126666333049,5.728714788228517,-541.72955,27.019297,22.515015,17.554825,13.282076,10.158018,8.588219,8.378825,8.768934,9.290337,9.658794,9.278908,7.8683987
14,0.23333333333333334,0.0006778339,0.0,7491.698937910503,979.5130256385332,2035.0565600829,3171.118403179891,0.027200295261307256,0.09461126666333049,5.728714788228517,-535.20044,28.891163,15.075428,11.673861,14.050696,15.396821,12.541538,6.261656,3.1707087,4.142548,6.4403677,10.36518,9.825378
15,0.25,0.00082268735,0.0,9026.77414911606,1633.8373898524474,2660.2191084516044,3651.2507727881607,0.027200295261307256,0.09461126666333049,5.728714788228517,-537.09625,21.482437,11.199821,14.488099,18.524137,10.82875,10.793686,10.000494,7.3089395,3.364417,4.3996515,5.166888,1.4624844
16,0.26666666666666666,0.0009307352,0.0,8132.026743359473,1780.0409564007487,2957.524258689218,3663.5982490517813,0.027200295261307256,0.09461126666333049,5.728714788228517,-511.88315,32.379406,2.0027404,18.390144,27.380932,7.2230816,5.820388,5.884559,4.7943068,5.743099,8.228488,9.360042,5.0068655
17,0.2833333333333333,0.0009721789,0.0,8141.143976248812,1408.113244941199,2501.1900247117937,3176.97003776279,0.027200295261307256,0.09461126666333049,5.728714788228517,-517.60364,33.769485,6.1171236,7.141958,15.462185,8.3722,9.393556,6.6559424,-0.20774834,1.302428,7.127413,10.633665,2.2371771
18,0.3,0.0009099082,0.0,9252.77075190128,1238.3556907425614,1879.6320419473598,2829.5870020257726,0.027200295261307256,0.09461126666333049,5.728714788228517,-511.20038,39.422005,8.759562,-9.191709,12.423035,23.069,25.243519,7.7481,-4.6753387,1.8412217,5.086771,6.177533,-7.428873
19,0.31666666666666665,0.0014847788,0.0,6896.535979723223,1505.544839807287,1927.629770221547,2982.294650211817,0.027200295261307256,0.09461126666333049,5.728714788228517,-508.5078,48.90361,3.4003248,-14.5444145,7.803011,29.29573,24.127314,2.7088017,-6.587906,1.5890721,8.94823,7.1091037,-0.8890416
20,0.3333333333333333,0.0014332415,0.0,4453.120800011071,1201.9113705025775,1839.3005570617668,2573.1385173172384,0.027200295261307256,0.09461126666333049,5.728714788228517,-475.25507,67.02414,-19.934536,-45.268753,-0.86956847,32.13595,27.097118,4.0246096,-0.922217,6.653616,9.819101,6.3935404,-0.656417
21,0.35,0.0014486818,0.0,7515.6472349427495,1054.1402013026166,1768.3906471015107,2937.8973355288954,0.027200295261307256,0.09461126666333049,5.728714788228517,-522.0467,39.606983,10.779638,-1.0634075,10.975803,22.29306,19.179256,6.125588,-2.3222184,-1.3644104,3.2889788,4.954795,-0.1418489
22,0.36666666666666664,0.0007747632,0.0,7477.61364918278,1211.5973366298574,1814.4522083938418,3426.4666905924946,0.027200295261307256,0.09461126666333049,5.728714788228517,-515.80066,45.793896,9.074415,-11.670376,-2.3304844,16.18584,21.7072,9.157798,-4.714225,-4.2632833,5.434646,9.379255,1.1867255
23,0.38333333333333336,0.00069131027,0.0,7163.29825050183,1296.878352843938,2124.6551794086245,3342.2010722108917,0.027200295261307256,0.09461126666333049,5.728714788228517,-538.70074,30.416416,24.243353,18.927635,16.439907,15.252421,13.084969,9.770683,6.885038,5.3383803,4.4442863,3.3522086,2.3343296
24,0.4,0.00058898656,0.0,6866.14465934458,1296.0686963619683,2174.287390894723,3245.799808931429,0.027200295261307256,0.09461126666333049,5.728714788228517,-535.50183,34.3769,26.342417,18.020922,12.64036,10.222029,8.619856,6.1756134,3.21173,1.1814905,0.8367337,1.5166353,2.0780332
25,0.4166666666666667,0.00058116036,0.0,7173.018761214827,981.8641327789792,1793.4023404249426,2959.7680288087936,0.027200295261307256,0.09461126666333049,5.728714788228517,-537.1721,31.643854,22.958685,14.461679,9.423218,7.2253513,5.4203663,2.9585176,0.98402,0.92035335,2.5544991,4.231241,4.508643
